"ST_CASE","COUNTY","CITY","DAY","MONTH","YEAR","DAY_WEEK","HOUR","MINUTE","LATITUDE","LONGITUD","WEATHER","FATALS","DRUNK_DR"
180577,25,90,26,9,2015,7,20,11,38.13468611,-86.38291667,1,1,0
180578,53,2850,1,10,2015,5,7,14,40.48023889,-85.53307222,1,1,0
180579,25,1460,2,10,2015,6,20,10,38.24533889,-86.47063056,2,1,0
180580,27,5120,2,10,2015,6,15,16,38.65952778,-87.15659722,10,1,0
180581,97,2210,6,10,2015,3,7,38,39.74786111,-86.266475,10,4,0
180583,127,612,9,10,2015,6,17,25,41.60027222,-87.13123056,1,1,0
180584,141,4580,10,10,2015,7,10,6,41.62865278,-86.26988611,1,1,0
180585,113,1080,21,9,2015,2,16,39,41.41674444,-85.59769722,1,1,0
180586,59,1890,29,9,2015,3,15,34,39.78316667,-85.81633333,2,1,0
180587,97,2210,2,10,2015,6,3,0,39.84102222,-86.06504167,1,2,1
180588,165,3540,3,10,2015,7,10,38,39.86772222,-87.41078889,2,1,0
180589,135,5350,7,10,2015,4,20,15,40.17115556,-85.07305278,1,1,0
180590,93,3110,9,10,2015,6,6,34,38.74752778,-86.60016111,1,1,0
180591,183,4610,10,10,2015,7,10,23,41.07101667,-85.61818056,1,1,0
180592,65,3450,12,10,2015,2,11,40,39.89260556,-85.35509722,1,1,0
180593,65,3330,5,9,2015,7,3,16,40.00419167,-85.34896111,1,1,1
180595,139,4270,8,10,2015,5,12,40,39.61115556,-85.41441944,1,1,0
180596,141,3100,12,10,2015,2,17,50,41.60815,-86.11864722,1,1,0
180597,127,4025,13,10,2015,3,6,30,41.55033889,-87.13748333,10,1,0
180598,65,4740,10,10,2015,7,13,2,39.85293333,-85.23331667,1,1,0
180599,167,4840,6,10,2015,3,13,40,39.43057778,-87.33788056,1,1,0
180600,99,440,11,10,2015,1,9,44,41.26689444,-86.07554167,1,1,0
180601,157,2480,14,10,2015,4,12,44,40.40039167,-86.88638056,1,1,0
180602,97,2210,9,10,2015,6,23,0,39.89622778,-86.25984722,1,1,1
180603,5,990,13,9,2015,1,12,30,39.17268333,-85.85211389,1,1,0
180604,135,5350,14,10,2015,4,16,35,40.10367222,-84.94234167,1,1,0
180605,173,3430,15,10,2015,5,12,30,37.97684444,-87.44813889,1,1,0
180606,89,760,26,9,2015,7,21,15,41.38685,-87.46997222,1,1,0
180607,57,4480,7,10,2015,4,21,56,40.12990833,-86.21760833,1,1,0
180608,151,160,17,10,2015,7,22,41,41.63454722,-85.12666667,1,1,0
180609,63,251,10,10,2015,7,23,30,39.76374444,-86.3408,1,1,0
180610,129,3340,14,10,2015,4,10,20,37.93719444,-87.87618333,1,1,0
180611,117,5160,16,10,2015,6,15,49,38.62032222,-86.61354722,1,1,0
180612,127,820,17,10,2015,7,0,36,41.54823333,-86.94758056,1,1,0
180613,5,990,17,10,2015,7,3,19,39.25724444,-85.95077222,1,1,0
180614,83,340,12,10,2015,2,17,6,38.78035,-87.30415,1,1,0
180615,127,4960,19,10,2015,2,3,0,41.54916111,-86.9913,1,1,0
180616,103,2820,14,10,2015,4,18,30,40.93972778,-86.09523889,1,2,1
180617,181,540,13,10,2015,3,17,43,40.59535278,-86.77534167,1,1,0
180618,175,4340,19,10,2015,2,7,50,38.72077222,-86.08798611,1,1,0
180619,97,2210,19,10,2015,2,15,29,39.77381667,-86.14341944,1,1,0
180620,3,1580,22,10,2015,5,6,12,41.12053889,-85.06173056,10,1,0
180621,153,4750,11,10,2015,1,18,17,39.06284167,-87.564625,1,1,0
180622,91,2570,24,10,2015,7,6,8,41.579675,-86.6591,2,1,1
180623,141,4580,17,10,2015,7,19,50,41.69857778,-86.21924722,1,1,0
180625,177,1920,22,10,2015,5,10,40,39.89254444,-85.03129722,1,1,0
180626,51,3830,25,10,2015,1,11,45,38.23821667,-87.76482222,1,2,0
180627,91,2990,13,10,2015,3,17,17,41.71324444,-86.87762222,1,1,0
180628,71,570,18,10,2015,1,15,15,38.88536111,-86.00659444,10,1,0
180629,97,2210,21,10,2015,4,18,36,39.87700556,-86.035,1,1,0
180630,127,4025,23,10,2015,6,0,45,41.560575,-87.14356667,1,1,0
180631,71,4440,24,10,2015,7,3,18,38.96022222,-85.84384444,1,1,0
180632,19,2270,26,10,2015,2,21,0,38.28748611,-85.74930278,2,1,0
180633,127,4030,24,10,2015,7,19,50,41.63683889,-87.05258056,2,1,1
180634,133,1870,27,10,2015,3,12,58,39.64475833,-86.86445556,10,1,0
180635,61,1050,24,10,2015,7,23,11,38.28094444,-86.11106389,2,2,0
180636,169,5040,27,10,2015,3,21,42,40.806,-85.92280833,2,1,0
180637,151,160,29,10,2015,5,7,25,41.63439722,-85.13682778,1,1,0
180638,169,5040,24,10,2015,7,17,3,40.73871111,-85.80915556,1,1,0
180640,25,1460,29,10,2015,5,9,57,38.36142222,-86.42513611,1,2,1
180641,53,4790,29,10,2015,5,9,15,40.47915833,-85.82502222,1,1,0
180642,35,1143,30,10,2015,6,16,27,40.11331389,-85.5375,1,1,0
180643,145,4470,31,10,2015,7,4,20,39.64719167,-85.91624444,10,1,0
180644,3,1580,22,10,2015,5,1,24,41.06779444,-85.14734167,10,1,1
180645,95,140,2,11,2015,2,15,15,40.05478333,-85.69213611,1,1,0
180646,61,1030,2,11,2015,2,5,57,38.22360833,-86.14119167,1,1,0
180647,141,3100,2,11,2015,2,19,14,41.66188889,-86.16068889,1,1,0
180648,3,1580,12,10,2015,2,0,24,41.01824167,-85.1534,1,1,1
180649,43,3400,26,10,2015,2,16,48,38.33463611,-85.80093611,1,1,0
180651,97,2210,30,10,2015,6,23,1,39.81459722,-86.06468333,1,1,0
180652,49,4190,14,10,2015,4,8,4,41.07213889,-86.19278333,1,1,0
180653,21,460,24,10,2015,7,10,23,39.44771944,-87.192275,1,1,0
180654,35,3360,8,11,2015,1,8,5,40.178325,-85.38161667,1,1,0
180655,19,800,8,11,2015,1,20,50,38.53701944,-85.61831111,1,1,0
180656,11,2630,5,4,2015,1,17,30,40.03935,-86.40679167,1,1,0
180657,27,5120,24,4,2015,6,22,6,38.65233611,-87.16869722,10,1,0
180658,35,3360,27,6,2015,7,22,2,40.14254167,-85.42935278,10,1,0
180659,81,5270,24,8,2015,2,9,12,39.57094444,-86.05451389,1,1,0
180661,51,3690,15,9,2015,3,14,38,38.32656111,-87.39453333,1,1,0
180662,33,1720,17,9,2015,5,21,45,41.34640278,-85.13556111,1,1,0
180663,173,410,20,9,2015,1,10,30,38.126575,-87.20140556,1,1,0
180664,97,2210,24,9,2015,5,20,18,39.76575278,-86.16176944,1,1,0
180665,125,3950,16,10,2015,6,10,49,38.48661667,-87.19475833,1,1,0
180666,67,1930,2,11,2015,2,18,5,40.47780556,-85.99490833,1,1,0
180667,89,1730,3,11,2015,3,15,10,41.60200556,-87.34458333,1,1,0
180668,127,4025,30,9,2015,4,21,15,41.59493611,-87.18871944,1,1,1
180669,89,1730,30,10,2015,6,1,9,41.5699,-87.38048889,1,1,0
180670,63,960,3,11,2015,3,7,0,39.76071944,-86.65822778,1,1,0
180671,157,2480,6,11,2015,6,22,38,40.37756944,-86.81415278,1,1,0
180672,139,4270,30,8,2015,1,1,4,39.69615,-85.46895278,1,1,1
180673,55,360,27,10,2015,3,1,33,39.04240833,-86.84593056,2,1,1
180674,173,795,29,10,2015,5,19,2,38.03718611,-87.38080833,1,1,0
180675,9,3210,9,11,2015,2,14,56,40.55254722,-85.29840278,1,1,0
180677,19,870,10,11,2015,3,9,5,38.30154722,-85.78906944,1,1,0
180678,183,840,15,11,2015,1,19,51,41.24463611,-85.33401944,1,1,0
180679,59,3510,11,8,2015,3,21,5,39.74234444,-85.879975,1,1,1
180680,51,4060,15,11,2015,1,21,0,38.35537222,-87.59398056,1,1,0
180681,77,2830,14,11,2015,7,2,33,38.74253056,-85.40905278,1,1,0
180682,161,2660,17,11,2015,3,3,9,39.60766667,-84.94636667,1,1,0
180683,29,1880,13,9,2015,1,15,58,39.12738056,-84.84310278,1,2,1
180685,59,2917,23,9,2015,4,16,34,39.85626389,-85.91545833,1,1,0
180686,175,660,4,11,2015,4,6,10,38.63271389,-86.21781111,1,1,0
180687,89,1100,8,11,2015,1,18,50,41.332675,-87.21903333,1,1,0
180688,19,800,9,11,2015,2,18,27,38.44577222,-85.66475,2,1,0
180689,89,1730,10,11,2015,3,18,9,41.54036944,-87.33625,1,1,0
180690,91,2570,12,11,2015,5,11,12,41.59114444,-86.75192222,2,1,0
180691,81,1950,17,11,2015,3,22,43,39.63392222,-86.09223611,1,1,0
180693,39,1830,18,11,2015,4,21,20,41.56264722,-85.79831111,10,2,1
180694,115,4150,17,9,2015,5,12,23,38.96272778,-84.85026111,1,1,0
180695,87,4490,12,11,2015,5,7,45,41.69697778,-85.55594722,10,1,0
180696,89,4380,16,11,2015,2,10,35,41.48603056,-87.45028611,10,1,0
180697,169,5040,21,11,2015,7,7,50,40.76439444,-85.8162,1,1,1
180698,35,1760,21,11,2015,7,14,23,40.27681389,-85.53209167,4,1,0
180699,67,2430,22,11,2015,1,18,20,40.48756944,-86.18833056,1,1,1
180700,103,3940,14,11,2015,7,20,33,40.78048889,-86.12895556,1,1,0
180701,145,4470,19,11,2015,5,17,20,39.53181111,-85.74490278,1,1,1
180702,1,320,21,11,2015,7,15,8,40.70988611,-84.955825,4,1,1
180703,67,2430,24,11,2015,3,18,40,40.44412778,-86.12710833,10,1,1
180704,169,5040,24,11,2015,3,9,20,40.81974444,-85.82978889,5,1,0
180705,101,4520,27,11,2015,6,14,30,38.63009722,-86.76600278,2,1,0
180706,99,180,28,11,2015,7,8,36,41.26614167,-86.2674,1,1,0
180707,85,5110,28,11,2015,7,21,48,41.28466111,-85.85330556,10,1,0
180708,107,5150,24,11,2015,3,21,43,40.096,-86.98879722,1,1,0
180709,69,5090,27,11,2015,6,14,55,40.81441944,-85.46517222,2,1,0
180710,35,3360,28,11,2015,7,8,33,40.13459722,-85.37965833,2,1,1
180711,39,1410,29,11,2015,1,22,30,41.732225,-86.04486944,1,2,0
180712,43,1788,26,11,2015,5,5,1,38.28543333,-85.91443889,1,1,0
180713,27,3710,10,9,2015,5,12,34,38.85543889,-86.99705278,1,1,0
180714,181,3200,11,10,2015,1,19,49,40.86883333,-86.65831667,1,2,0
180715,5,990,19,11,2015,5,17,51,39.18765278,-85.95385278,1,1,0
180716,97,2210,1,12,2015,3,22,18,39.65066944,-86.09750278,1,1,0
180717,57,4480,3,12,2015,5,8,16,40.11942222,-86.22284444,1,1,0
180718,141,3100,3,12,2015,5,22,28,41.75481111,-86.08896389,1,1,0
180719,89,1730,3,12,2015,5,18,44,41.55615278,-87.31843056,1,1,0
180720,109,3163,12,9,2015,7,3,23,39.57903889,-86.50870833,1,1,0
180721,81,1950,14,10,2015,4,13,36,39.61348056,-86.13329722,1,1,0
180722,15,1200,2,12,2015,4,22,30,40.65061389,-86.75709167,10,1,1
180723,3,1580,6,12,2015,1,4,22,41.06010833,-85.18979444,5,2,0
180724,109,2890,6,12,2015,1,0,4,39.51694444,-86.30085833,5,1,0
180725,65,1280,13,11,2015,6,20,17,39.85264167,-85.356075,1,1,0
180726,97,2210,24,11,2015,3,22,39,39.75231389,-86.22531389,1,1,0
180727,131,2920,30,11,2015,2,11,4,41.078225,-86.89186389,1,1,0
180728,97,2210,5,12,2015,7,19,59,39.70275833,-86.13934167,1,1,1
180729,113,60,18,11,2015,4,17,35,41.29405278,-85.42482222,10,1,0
180730,5,990,3,12,2015,5,11,57,39.27352778,-85.9585,1,1,0
180731,63,560,8,12,2015,3,18,15,39.90919167,-86.39755278,10,1,1
180732,39,480,10,12,2015,5,15,39,41.66720833,-85.85354444,10,1,0
180733,3,1580,12,12,2015,7,15,9,40.97741389,-85.0827,10,1,0
180734,109,3250,12,12,2015,7,7,20,39.349225,-86.28205,10,1,1
180735,97,2210,22,11,2015,1,21,8,39.822425,-85.99095556,1,1,0
180736,89,2515,11,12,2015,6,22,45,41.57782222,-87.240075,10,1,0
180737,97,2210,11,12,2015,6,8,38,39.78788611,-86.20954722,10,1,0
180738,3,1580,11,12,2015,6,8,32,41.15575278,-85.04040833,1,1,0
180739,97,2210,21,4,2015,3,22,30,39.77615,-85.99850278,10,1,0
180740,97,2210,3,11,2015,3,5,39,39.67332222,-86.15846944,1,1,0
180742,97,2210,10,12,2015,5,0,26,39.75719444,-86.14468056,1,1,1
180743,91,2570,15,12,2015,3,18,8,41.71414167,-86.53086111,1,1,0
180744,89,2515,4,11,2015,4,14,3,41.56273333,-87.30651111,1,1,0
180745,97,2210,8,11,2015,1,3,30,39.71591111,-86.11238333,1,1,0
180746,103,1010,13,12,2015,1,16,4,40.57593611,-85.87323333,10,1,0
180747,87,4870,14,12,2015,2,21,22,41.56740278,-85.61548333,2,1,0
180748,51,3890,14,12,2015,2,7,47,38.43932778,-87.573175,10,1,0
180749,73,4100,18,12,2015,6,20,42,40.95531667,-87.15465,10,1,0
180750,81,1950,18,12,2015,6,21,21,39.57643889,-86.22532778,1,1,0
180751,17,1710,17,12,2015,5,3,40,40.56255833,-86.17575,1,1,0
180752,19,2270,19,12,2015,7,22,59,38.29179167,-85.74872778,1,1,0
180753,77,2830,19,9,2015,7,10,0,38.78547778,-85.40163333,10,1,0
180754,39,1410,22,12,2015,3,5,30,41.7244,-85.88880278,2,1,0
180755,163,1480,12,10,2015,2,15,27,38.08553889,-87.49073611,10,1,0
180757,81,1370,23,12,2015,4,18,30,39.36023333,-85.99266944,2,1,0
180758,169,2510,23,12,2015,4,17,1,40.79533056,-85.87084167,2,1,1
180759,39,1830,23,12,2015,4,14,41,41.62767778,-85.83050833,2,1,0
